Transaction_ID,Date,Customer_Age,Product_Category,Country,Units_Sold,Unit_Price,Shipping_Cost,Rating,Total_Revenue
5000,2024-01-01 00:00:00,56.0,Clothing,U.S.A.,9,75.03071948109957,96.28127979455408,3.510823797975661,671.6122612332481
5001,2024-01-01 01:00:00,69.0,Clothing,UK,2,288.0950156481635,68.66761940406471,2.8670705044427454,582.7044724362574
5002,2024-01-01 02:00:00,46.0,Home,united states,1,347.8378348772602,21.641612051897194,3.1719926640831644,337.5427821732378
5003,2024-01-01 03:00:00,32.0,Clothing,Canada,8,402.2874825634506,50.009419419243116,4.026504243338896,3205.6488372807494
5004,2024-01-01 04:00:00,60.0,Toys,U.S.A.,3,108.07361967995695,66.6072717669844,2.194199210398568,327.5543935893287
5005,2024-01-01 05:00:00,25.0,Toys,UK,7,92.06646530694418,7.685146599747881,3.9963922261972273,645.6316559484754
5006,2024-01-01 06:00:00,78.0,Clothing,Germany,10,61.238241763856124,6.41647509470675,2.123128606718586,612.4714901797885
5007,2024-01-01 07:00:00,38.0,Toys,Canada,8,321.85082227638196,17.29328505686395,4.401105694365838,2587.6869058830403
5008,2024-01-01 08:00:00,56.0,Toys,UK,6,356.1731059785816,28.908121329319723,2.351358159765093,2131.121545470069
5009,2024-01-01 09:00:00,75.0, Elect. ,Canada,10,25.4772109645646,45.807166734464175,1.8714781760656756,259.56599939257103
5010,2024-01-01 10:00:00,36.0,Books,Canada,9,468.744000659408,51.306845007179895,3.5784609719603964,4211.096963810534
5011,2024-01-01 11:00:00,40.0,Toys,U.S.A.,7,35.46592898922148,18.112622849100195,3.931935829776003,235.52156063710925
5012,2024-01-01 12:00:00,28.0,Toys,UK,10,275.23520429752455,68.97220001600392,3.905741988821772,2748.080663547895
5013,2024-01-01 13:00:00,28.0,Home, USA,5,357.43965453094904,61.63311586117081,3.1367725302702256,1779.716794846841
5014,2024-01-01 14:00:00,41.0,Books,UK,8,436.7748706355819,32.97408938991022,3.951845355556001,3487.466908067214
5015,2024-01-01 15:00:00,70.0,Books,Canada,2,359.90259674488965,6.297688926352741,1.8482581850716304,737.2851047568117
5016,2024-01-01 16:00:00,53.0,Books,UK,7,402.846760704198,12.37655195856262,2.7502781420559725,2816.1157731188528
5017,2024-01-01 17:00:00,57.0,Clothing,UK,4,176.33059434597496,42.211003673529746,2.8677939583459193,695.3787772997018
5018,2024-01-01 18:00:00,41.0, Elect. ,Canada,9,409.26430573579097,19.627563360739973,3.62641682157631,3683.7999332328386
5019,2024-01-01 19:00:00,20.0,Electronic,Germany,1,49.25627472849082,40.79786258405723,4.7280608293761945,50.81969381541693
5020,2024-01-01 20:00:00,39.0,Home,U.S.A.,7,448.46016146965854,64.67734742848373,2.735133417376902,3121.4179118436987
5021,2024-01-01 21:00:00,70.0,Books,France,6,278.32026431533075,56.98755564853194,2.278154506018246,1665.4454918131269
5022,2024-01-01 22:00:00,19.0,Books,UK,8,410.4759072816219,26.961708898052454,3.5954718248244326,3278.7269933914963
5023,2024-01-01 23:00:00,41.0,Toys, USA,5,231.63595941396707,37.663136669581476,3.834782571890504,1155.5976329642083
5024,2024-01-02 00:00:00,61.0,Clothing,Germany,1,325.3530706462972,63.33296385262181,3.0091906410552904,336.235996241867
5025,2024-01-02 01:00:00,47.0,Clothing,Canada,1,267.9373038586955,86.78122766412763,2.4657399286373916,269.9873819261387
5026,2024-01-02 02:00:00,55.0,Home,France,9,368.4788656601126,76.55527668019334,2.9142164952907743,3334.7288511517936
5027,2024-01-02 03:00:00,19.0,ELECTRONICS,UK,10,49.99869119498889,57.57300254917442,5.0,499.81200661155674
5028,2024-01-02 04:00:00,77.0,Books,usa ,6,39.572521155376265,39.41783484006619,1.4254981898142334,264.0764361379586
5029,2024-01-02 05:00:00,38.0,Home,united states,10,131.08058466497175,39.67987136647152,3.936818182854312,1303.8942214437427
5030,2024-01-02 06:00:00,50.0,Clothing,Canada,5,88.17689325546229,88.54464447511762,1.6072970636371595,429.34103055983456
5031,2024-01-02 07:00:00,29.0,Clothing,Germany,1,437.1739476301788,8.728139723851909,4.599098059121705,445.3834877518334
5032,2024-01-02 08:00:00,75.0,Clothing,UK,6,117.41485380544171,98.85835121992478,1.7649971193465879,724.9503518946256
5033,2024-01-02 09:00:00,39.0,Books,U.S.A.,6,488.17397535137434,68.11566403089842,3.4210853116819835,2908.3618025394676
5034,2024-01-02 10:00:00,78.0,Books,UK,3,175.07893796784236,69.7080814118771,2.0920207264522404,522.2819541803123
5035,2024-01-02 11:00:00,61.0,Books,Canada,8,99.23777868746265,8.609794543950505,3.3146448378619886,784.7405003234131
5036,2024-01-02 12:00:00,42.0,Toys, USA,1,396.95226849981475,62.525281114670854,3.6428579206769984,399.0950336946959
